../data/final/netrd/SIS/timeseries_bull_200_0.2_dontdie.pickle
../data/final/netrd/SIS/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 1000
FORMAT: timeseries
HIDDEN_SIZE: 128
USE_TESTSET: True
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 200
NUM_TRAIN_SAMPLES: 159
NUM_TRAIN_BATCHES: 2
NUM_TEST_SAMPLES: 40
NUM_TEST_BATCHES: 1
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 1000
IS_CONTINUOUS: False
USE_MAX: False
evaluating: matrix 176, run 0. Mean loss in evaluation epoch: 0.44433701038360596, epochs needed: 1000
evaluating: matrix 177, run 0. Mean loss in evaluation epoch: 0.4598802924156189, epochs needed: 1000
evaluating: matrix 178, run 0. Mean loss in evaluation epoch: 0.4454711973667145, epochs needed: 1000
evaluating: matrix 179, run 0. Mean loss in evaluation epoch: 0.45647957921028137, epochs needed: 1000
evaluating: matrix 180, run 0. Mean loss in evaluation epoch: 0.4743626117706299, epochs needed: 1000
evaluating: matrix 181, run 0. Mean loss in evaluation epoch: 0.46011531352996826, epochs needed: 1000
evaluating: matrix 182, run 0. Mean loss in evaluation epoch: 0.4567890465259552, epochs needed: 1000
evaluating: matrix 183, run 0. Mean loss in evaluation epoch: 0.4582141637802124, epochs needed: 1000
evaluating: matrix 184, run 0. Mean loss in evaluation epoch: 0.4722888469696045, epochs needed: 1000
evaluating: matrix 185, run 0. Mean loss in evaluation epoch: 0.46141859889030457, epochs needed: 1000
evaluating: matrix 186, run 0. Mean loss in evaluation epoch: 0.4801853895187378, epochs needed: 1000
evaluating: matrix 187, run 0. Mean loss in evaluation epoch: 0.46353012323379517, epochs needed: 1000
evaluating: matrix 188, run 0. Mean loss in evaluation epoch: 0.4513827860355377, epochs needed: 1000
evaluating: matrix 189, run 0. Mean loss in evaluation epoch: 0.47650986909866333, epochs needed: 1000
evaluating: matrix 190, run 0. Mean loss in evaluation epoch: 0.4528825879096985, epochs needed: 1000
evaluating: matrix 191, run 0. Mean loss in evaluation epoch: 0.47100773453712463, epochs needed: 1000
evaluating: matrix 192, run 0. Mean loss in evaluation epoch: 0.4603356122970581, epochs needed: 1000
evaluating: matrix 193, run 0. Mean loss in evaluation epoch: 0.46190789341926575, epochs needed: 1000
