../data/final/cml/timeseries_bull_5k_4_onetake.pickle
../data/final/cml/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 10
FORMAT: standard
HIDDEN_SIZE: 128
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 4991
NUM_SAMPLES: 4991
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 10
IS_CONTINUOUS: True
NUM_BATCHES: 50
USE_MAX: False
evaluating: matrix 174, run 0. Mean loss in evaluation epoch: 0.1679190844297409, epochs needed: 10
evaluating: matrix 175, run 0. Mean loss in evaluation epoch: 0.16938912868499756, epochs needed: 10
evaluating: matrix 176, run 0. Mean loss in evaluation epoch: 0.18782451748847961, epochs needed: 10
evaluating: matrix 177, run 0. Mean loss in evaluation epoch: 0.19586436450481415, epochs needed: 10
evaluating: matrix 178, run 0. Mean loss in evaluation epoch: 0.15858763456344604, epochs needed: 10
evaluating: matrix 179, run 0. Mean loss in evaluation epoch: 0.17517371475696564, epochs needed: 10
evaluating: matrix 180, run 0. Mean loss in evaluation epoch: 0.183569997549057, epochs needed: 10
evaluating: matrix 181, run 0. Mean loss in evaluation epoch: 0.1878209412097931, epochs needed: 10
evaluating: matrix 182, run 0. Mean loss in evaluation epoch: 0.17587532103061676, epochs needed: 10
evaluating: matrix 183, run 0. Mean loss in evaluation epoch: 0.1615394949913025, epochs needed: 10
evaluating: matrix 184, run 0. Mean loss in evaluation epoch: 0.19050203263759613, epochs needed: 10
evaluating: matrix 185, run 0. Mean loss in evaluation epoch: 0.1750781536102295, epochs needed: 10
evaluating: matrix 186, run 0. Mean loss in evaluation epoch: 0.1683899313211441, epochs needed: 10
evaluating: matrix 187, run 0. Mean loss in evaluation epoch: 0.17633557319641113, epochs needed: 10
evaluating: matrix 188, run 0. Mean loss in evaluation epoch: 0.17973510921001434, epochs needed: 10
evaluating: matrix 189, run 0. Mean loss in evaluation epoch: 0.1787838488817215, epochs needed: 10
evaluating: matrix 190, run 0. Mean loss in evaluation epoch: 0.16295203566551208, epochs needed: 10
evaluating: matrix 191, run 0. Mean loss in evaluation epoch: 0.17271600663661957, epochs needed: 10
evaluating: matrix 192, run 0. Mean loss in evaluation epoch: 0.21313627064228058, epochs needed: 10
evaluating: matrix 193, run 0. Mean loss in evaluation epoch: 0.19344356656074524, epochs needed: 10
evaluating: matrix 194, run 0. Mean loss in evaluation epoch: 0.19809024035930634, epochs needed: 10
evaluating: matrix 195, run 0. Mean loss in evaluation epoch: 0.1892073154449463, epochs needed: 10
evaluating: matrix 196, run 0. Mean loss in evaluation epoch: 0.20997264981269836, epochs needed: 10
evaluating: matrix 197, run 0. Mean loss in evaluation epoch: 0.19851623475551605, epochs needed: 10
evaluating: matrix 198, run 0. Mean loss in evaluation epoch: 0.16600298881530762, epochs needed: 10
evaluating: matrix 199, run 0. Mean loss in evaluation epoch: 0.20139636099338531, epochs needed: 10
evaluating: matrix 200, run 0. Mean loss in evaluation epoch: 0.19305798411369324, epochs needed: 10
evaluating: matrix 201, run 0. Mean loss in evaluation epoch: 0.19924776256084442, epochs needed: 10
evaluating: matrix 202, run 0. Mean loss in evaluation epoch: 0.1870751529932022, epochs needed: 10
evaluating: matrix 203, run 0. Mean loss in evaluation epoch: 0.196406289935112, epochs needed: 10
evaluating: matrix 204, run 0. Mean loss in evaluation epoch: 0.17798854410648346, epochs needed: 10
evaluating: matrix 205, run 0. Mean loss in evaluation epoch: 0.1888071596622467, epochs needed: 10
evaluating: matrix 206, run 0. Mean loss in evaluation epoch: 0.173054039478302, epochs needed: 10
evaluating: matrix 207, run 0. Mean loss in evaluation epoch: 0.16990773379802704, epochs needed: 10
evaluating: matrix 208, run 0. Mean loss in evaluation epoch: 0.1946341097354889, epochs needed: 10
